GEOID,Neighborhoods_Code
"36005040303",Van Cortlandt Village
"36005021700",University Heights-Morris Heights
"36005040302",Bedford Park-Fordham North
"36005006300",West Concourse
"36005007600",West Farms-Bronx River
"36005009000",Soundview-Castle Hill-Clason Point-Harding Park
"36047055400",Homecrest
"36005015900",Hunts Point
"36005005001",Soundview-Bruckner
"36047053700",Williamsburg
"36047054700",North Side-South Side
"36047054800",Madison
"36047053900",Williamsburg
"36047054300",park-cemetery-etc-Brooklyn
"36047054400",Midwood
"36047054900",North Side-South Side
"36047055000",Madison
"36047055300",North Side-South Side
"36047055500",North Side-South Side
"36047055600",Homecrest
"36047055700",North Side-South Side
"36047056200",Madison
"36047026800",Bensonhurst West
"36047056300",Greenpoint
"36047056400",Madison
"36047008200",Sunset Park West
"36047028900",Stuyvesant Heights
"36047078400",East Flatbush-Farragut
"36047057100",Greenpoint
"36047030300",Ocean Hill
"36047086200",Rugby-Remsen Village
"36047111000",East New York
"36047004300",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"36047031702",Crown Heights North
"36047033700",Crown Heights North
"36047043800",Ocean Parkway South
"36047035100",Crown Heights North
"36047036100",Ocean Hill
"36047038300",Stuyvesant Heights
"36047039400",Homecrest
"36047042400",Bensonhurst East
"36047044700",Bushwick North
"36047047200",Borough Park
"36047049100",East Williamsburg
"36047050300",East Williamsburg
"36047055200",Madison
"36047056600",Madison
"36047056500",Greenpoint
"36047057500",Greenpoint
"36047057600",Madison
"36047056800",Madison
"36047056900",Greenpoint
"36047057800",Madison
"36047057000",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047057300",Greenpoint
"36047059000",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047057900",Greenpoint
"36047058000",Madison
"36047058800",Homecrest
"36047059401",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047083600",East Flatbush-Farragut
"36047085400",East Flatbush-Farragut
"36047084000",East Flatbush-Farragut
"36047085000",East Flatbush-Farragut
"36047085200",park-cemetery-etc-Brooklyn
"36047090800",Brownsville
"36047090000",Brownsville
"36047092000",Brownsville
"36047090200",Brownsville
"36047090600",Brownsville
"36047091000",Brownsville
"36047093400",Rugby-Remsen Village
"36047091800",Brownsville
"36047092200",Brownsville
"36047093000",Rugby-Remsen Village
"36047093600",Rugby-Remsen Village
"36047065600",Georgetown-Marine Park-Bergen Beach-Mill Basin
"36047058900",Greenpoint
"36047059200",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047060600",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047063200",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047059100",Greenpoint
"36047069000",Flatlands
"36047080000",Prospect Lefferts Gardens-Wingate
"36047073000",Flatlands
"36047074200",Flatlands
"36047078000",East Flatbush-Farragut
"36047084600",Rugby-Remsen Village
"36047087200",East Flatbush-Farragut
"36047088000",Prospect Lefferts Gardens-Wingate
"36047091200",Brownsville
"36047098200",Canarsie
"36047099200",Canarsie
"36047102800",Canarsie
"36047115000",East New York
"36047015000",Dyker Heights
"36047116200",East New York
"36047119000",Cypress Hills-City Line
"36047000100",Brooklyn Heights-Cobble Hill
"36047000200",Sunset Park West
"36047000301",Brooklyn Heights-Cobble Hill
"36047014200",Bay Ridge
"36047014500",Sunset Park West
"36047014700",Sunset Park West
"36047014900",Park Slope-Gowanus
"36047015300",Park Slope-Gowanus
"36047015400",park-cemetery-etc-Brooklyn
"36047014100",Park Slope-Gowanus
"36047016300",Prospect Heights
"36047015900",Park Slope-Gowanus
"36047016100",Prospect Heights
"36047016200",Bay Ridge
"36047016400",Bay Ridge
"36047016500",Park Slope-Gowanus
"36047016700",Park Slope-Gowanus
"36047016800",Bath Beach
"36047016900",Windsor Terrace
"36047017500",park-cemetery-etc-Brooklyn
"36047017100",Windsor Terrace
"36047017200",Bath Beach
"36047017400",Bath Beach
"36047088200",Rugby-Remsen Village
"36047085600",East Flatbush-Farragut
"36047086000",East Flatbush-Farragut
"36047086400",Rugby-Remsen Village
"36047087000",East Flatbush-Farragut
"36047087401",Prospect Lefferts Gardens-Wingate
"36047087600",Prospect Lefferts Gardens-Wingate
"36047087800",Prospect Lefferts Gardens-Wingate
"36047062800",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047059800",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047061002",Brighton Beach
"36047061200",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047060000",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047060800",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047061600",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047062200",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047063600",Georgetown-Marine Park-Bergen Beach-Mill Basin
"36047063800",Madison
"36047064000",Georgetown-Marine Park-Bergen Beach-Mill Basin
"36047064400",Georgetown-Marine Park-Bergen Beach-Mill Basin
"36047065000",Flatlands
"36047095600",Canarsie
"36047094401",Flatlands
"36047095000",Canarsie
"36047095400",Canarsie
"36005039901",Bedford Park-Fordham North
"36005044902",Woodlawn-Wakefield
"36005025100",University Heights-Morris Heights
"36005022404",Pelham Parkway
"36005023704",Fordham South
"36005015300",Crotona Park East
"36047001300",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"36047000700",Brooklyn Heights-Cobble Hill
"36047000900",Brooklyn Heights-Cobble Hill
"36047001100",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"36047001800",Sunset Park West
"36047002000",Sunset Park West
"36047003100",Fort Greene
"36047002100",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"36047002200",Sunset Park West
"36047002901",Fort Greene
"36047003400",Bay Ridge
"36047003700",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"36047003900",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"36005004600",Soundview-Castle Hill-Clason Point-Harding Park
"36005014100",Morrisania-Melrose
"36005033000",Bronxdale
"36005021100",Highbridge
"36005005902",East Concourse-Concourse Village
"36005019500",West Concourse
"36005028100",Van Cortlandt Village
"36005022701",Mount Hope
"36005031600",Allerton-Pelham Gardens
"36005028600",Van Nest-Morris Park-Westchester Square
"36005016400",Schuylerville-Throgs Neck-Edgewater Park
"36005036800",Williamsbridge-Olinville
"36005006000",Crotona Park East
"36005037600",Williamsbridge-Olinville
"36005023301",Mount Hope
"36005004001",Soundview-Bruckner
"36005042800",Woodlawn-Wakefield
"36005006900",Melrose South-Mott Haven North
"36005003100",Mott Haven-Port Morris
"36005039000",Williamsbridge-Olinville
"36005038800",Williamsbridge-Olinville
"36005005600",West Farms-Bronx River
"36005014500",Claremont-Bathgate
"36047018000",Bath Beach
"36047017700",park-cemetery-etc-Brooklyn
"36047017800",Bath Beach
"36047017900",Fort Greene
"36047018200",Bensonhurst West
"36047018700",Fort Greene
"36047018300",Fort Greene
"36047018501",Fort Greene
"36047018600",Bensonhurst West
"36047019000",Bensonhurst West
"36047019100",Clinton Hill
"36047019200",Borough Park
"36047019600",Dyker Heights
"36047019700",Clinton Hill
"36047019800",Dyker Heights
